date,eur001mindex,eur002mindex,eur003mindex,eur006mindex,eur009mindex,eusa1fcurncy,eusa2curncy,eusa3curncy,eusa4curncy,eusa5curncy,eusa6curncy,eusa7curncy,eusa8curncy,eusa9curncy,eusa10curncy,eusa12curncy,eusa15curncy,eusa20curncy,eusa30curncy
Sep.12,0.115000002,0.158000007,0.219999999,0.437000006,0.565999985,0.419999987,0.456999987,0.57099998,0.744000018,0.943000019,1.144000053,1.327000022,1.488000035,1.628999949,1.751000047,1.960000038,2.165999889,2.276000023,2.325999975
Oct.12,0.109999999,0.148000002,0.196999997,0.388999999,0.507000029,0.426999986,0.47299999,0.591000021,0.75999999,0.954999983,1.155500054,1.33949995,1.503000021,1.646999955,1.773000002,1.981099963,2.191699982,2.313999891,2.345000029
Nov.12,0.112999998,0.148000002,0.191,0.344000012,0.456,0.374000013,0.411000013,0.519999981,0.666000009,0.851999998,1.052999973,1.233999968,1.396999955,1.542000055,1.669999957,1.88380003,2.10619998,2.249000072,2.299000025
Dec.12,0.108999997,0.148000002,0.187000006,0.319999993,0.432000011,0.345999986,0.375,0.469000012,0.603999972,0.765999973,0.948000014,1.123999953,1.287999988,1.434000015,1.565000057,1.789999962,2.00999999,2.163000107,2.23300004
Jan.13,0.120999999,0.180000007,0.231999993,0.377999991,0.503000021,0.603999972,0.693000019,0.853999972,1.019000053,1.190000057,1.357499957,1.523000002,1.66900003,1.797999978,1.912999988,2.091599941,2.27699995,2.40199995,2.440000057
Feb.13,0.118000001,0.169,0.209000006,0.333999991,0.448000014,0.395999998,0.44749999,0.574999988,0.73299998,0.916999996,1.116000056,1.299000025,1.465000033,1.616000056,1.75,1.962499976,2.190799952,2.319000006,2.398999929
Mar.13,0.116999999,0.170000002,0.210999995,0.335000008,0.439999998,0.449999988,0.497099996,0.613099992,0.753099978,0.904999971,1.092100024,1.254600048,1.409600019,1.546200037,1.671000004,1.894899964,2.101000071,2.253200054,2.32220006
Apr.13,0.115999997,0.165000007,0.207000002,0.314999998,0.411000013,0.356999993,0.397000015,0.483999997,0.595000029,0.748000026,0.905499995,1.06400001,1.210999966,1.34800005,1.473999977,1.68900001,1.911000013,2.066999912,2.148999929
May.13,0.112999998,0.159999996,0.200000003,0.298000008,0.389999986,0.387499988,0.43779999,0.586799979,0.766300023,0.955299973,1.113999963,1.304299951,1.462800026,1.608299971,1.742799997,1.944399953,2.16899991,2.344000101,2.407500029
Jun.13,0.123000003,0.175999999,0.217999995,0.335000008,0.435000002,0.518999994,0.598999977,0.792500019,1.014999986,1.233500004,1.417000055,1.600999951,1.752500057,1.893000007,2.015799999,2.198999882,2.381999969,2.503299952,2.517299891
Jul.13,0.130999997,0.181999996,0.228,0.340999991,0.442999989,0.474999994,0.531000018,0.721000016,0.930999994,1.154999971,1.356999993,1.531999946,1.68900001,1.832000017,1.960999966,2.163199902,2.36500001,2.506000042,2.513999939
Aug.13,0.128999993,0.174999997,0.224000007,0.342999995,0.449999988,0.529999971,0.621999979,0.858500004,1.123000026,1.365499973,1.577499986,1.75999999,1.919999957,2.062999964,2.191999912,2.397500038,2.598999977,2.700000048,2.698999882
Sep.13,0.128000006,0.172000006,0.224999994,0.340000004,0.448000014,0.479000002,0.56099999,0.760999978,0.981999993,1.218000054,1.428500056,1.616999984,1.782999992,1.929999948,2.061000109,2.270999908,2.473999977,2.609999895,2.625999928
Oct.13,0.129999995,0.180999994,0.230000004,0.351000011,0.458000004,0.432000011,0.488999993,0.652999997,0.87349999,1.098999977,1.309499979,1.503000021,1.675999999,1.83099997,1.968999982,2.191999912,2.415999889,2.565000057,2.618000031
Nov.13,0.165999994,0.196999997,0.233999997,0.330000013,0.421000004,0.384000003,0.430999994,0.595000029,0.82099998,1.05400002,1.277500033,1.478800058,1.661800027,1.825000048,1.968000054,2.202500105,2.428999901,2.578000069,2.607000113
Dec.13,0.216000006,0.254999995,0.287,0.388999999,0.479999989,0.465999991,0.537100017,0.750500023,1.001000047,1.261000037,1.485000014,1.682999969,1.85800004,2.016000032,2.154000044,2.374000072,2.585999966,2.717999935,2.734999895
Jan.14,0.230000004,0.261999995,0.296000004,0.395999998,0.48300001,0.393000007,0.425099999,0.57950002,0.796000004,1.002900004,1.212499976,1.409000039,1.585000038,1.741999984,1.879999995,2.097500086,2.316999912,2.469000101,2.525000095
Feb.14,0.217999995,0.25,0.286000013,0.384000003,0.467000008,0.419,0.453999996,0.606000006,0.798600018,0.996999979,1.196499944,1.383000016,1.552000046,1.702999949,1.838999987,2.062999964,2.280999899,2.439500093,2.500999928
Mar.14,0.237000003,0.277999997,0.312999994,0.418000013,0.500999987,0.43599999,0.476999998,0.610000014,0.786499977,0.971800029,1.157500029,1.335000038,1.498000026,1.646999955,1.781000018,2.002500057,2.227999926,2.391000032,2.447999954
Apr.14,0.261000007,0.298999995,0.338999987,0.437999994,0.522000015,0.419499993,0.448000014,0.568499982,0.736000001,0.915000021,1.095499992,1.268000007,1.42900002,1.575000048,1.70599997,1.919499993,2.141499996,2.305500031,2.367000103
May.14,0.250999987,0.280999988,0.31099999,0.397000015,0.479999989,0.345999986,0.360000014,0.463800013,0.590399981,0.756799996,0.92750001,1.103999972,1.26699996,1.416000009,1.549999952,1.774000049,2.006000042,2.183500051,2.256999969
Jun.14,0.098999999,0.157000005,0.207000002,0.303000003,0.393999994,0.291999996,0.309500009,0.382999986,0.502200007,0.652499974,0.818499982,0.991999984,1.156000018,1.305999994,1.440000057,1.659999967,1.894000053,2.088000059,2.181999922
Jul.14,0.097999997,0.158000007,0.209000006,0.305999994,0.398999989,0.316000015,0.335000008,0.405900002,0.513000011,0.641499996,0.79549998,0.949000001,1.103000045,1.243999958,1.371999979,1.585500002,1.80250001,1.98150003,2.072000027
Aug.14,0.067000002,0.116999999,0.163000003,0.263999999,0.345999986,0.250999987,0.26699999,0.323700011,0.404799998,0.501999974,0.614499986,0.736000001,0.861999989,0.981999993,1.090000033,1.263499975,1.465000033,1.643000007,1.761000037
Sep.14,0.007,0.043000001,0.082999997,0.182999998,0.250999987,0.179000005,0.192499995,0.252099991,0.332199991,0.445100009,0.579999983,0.725000024,0.874000013,1.013000011,1.139000058,1.350000024,1.585500002,1.796499968,1.912999988
Oct.14,0.01,0.050999999,0.086000003,0.188999996,0.263999999,0.202000007,0.217999995,0.268900007,0.344500005,0.431300014,0.556500018,0.67900002,0.818000019,0.947000027,1.066300035,1.261999965,1.482599974,1.685500026,1.81099999
Nov.14,0.02,0.044,0.082000002,0.180000007,0.256999999,0.189999998,0.207000002,0.257800013,0.323199987,0.395000011,0.481000006,0.583999991,0.693000019,0.802999973,0.907999992,1.088500023,1.289999962,1.488199949,1.623999953
Dec.14,0.017999999,0.044,0.078000002,0.171000004,0.245000005,0.166999996,0.174999997,0.220400006,0.283499986,0.360000014,0.442000002,0.527999997,0.624000013,0.721000016,0.811999977,0.976499975,1.148000002,1.32099998,1.460999966
